,LON,LAT,도로명
160,127.0775022,37.65254783,서울 노원구 한글비석로 279
161,127.0779892,37.65876068,서울 노원구 덕릉로82길 50
162,127.0549489,37.67990705,서울 노원구 동일로 1697
163,127.0678858,37.65747582,서울 노원구 상계로 118
164,127.0694072,37.66296822,서울 노원구 한글비석로 434
165,127.0515707,37.66675067,서울 노원구 동일로227길 97
166,127.0638415,37.66452826,서울 노원구 한글비석로 487
167,127.0602754,37.66126138,서울 노원구 노원로 530
168,126.92992,37.60221616,서울 은평구 은평로 195
169,126.9320869,37.61035877,서울 은평구 진흥로15길 10
170,126.9257273,37.62085325,서울 은평구 연서로 282
171,126.9167417,37.6236223,서울 은평구 갈현로 301
172,126.9158457,37.61855451,서울 은평구 연서로27길 31-6
173,126.9103762,37.61175703,서울 은평구 갈현로17길 10
174,126.9208251,37.61418996,서울 은평구 연서로20길 24-3
175,126.9267869,37.60069699,서울 은평구 백련산로 179
176,126.9230743,37.59460033,서울 은평구 백련산로 100
177,126.9157349,37.59224193,서울 은평구 불광천길 410-17
178,126.9151233,37.60439766,서울 은평구 연서로 59
179,126.9117699,37.59779274,서울 은평구 은평로2길 2
180,126.9082009,37.59024061,서울 은평구 증산로15길 47
181,126.9070398,37.58430306,서울 은평구 증산서길 89
182,126.8936722,37.58352053,서울 은평구 수색로 280
183,126.9210659,37.63496688,서울 은평구 진관2로 31
184,126.959077,37.571124,서울 서대문구 성산로 694
185,126.9569012,37.55956524,서울 서대문구 북아현로 24
186,126.9547137,37.56481724,서울 서대문구 북아현로22길 38
187,126.9435053,37.55954878,서울 서대문구 이화여대길 92-8
188,126.9352308,37.57391001,서울 서대문구 연희로 189
189,126.9449514,37.58771636,서울 서대문구 통일로 435-1
190,126.9497434,37.59378218,서울 서대문구 세검정로4길 32
191,126.9493907,37.58615062,서울 서대문구 통일로34길 27
192,126.9471083,37.59891668,서울 서대문구 홍은중앙로 85
193,126.9342291,37.58015154,서울 서대문구 모래내로 334
194,126.9197863,37.57327343,서울 서대문구 모래내로15길 37
195,126.9238653,37.57843343,서울 서대문구 증가로10길 28
196,126.9101857,37.57427924,서울 서대문구 수색로 100-55
197,126.911205,37.58150598,서울 서대문구 응암로1길 10
198,126.9521964,37.54705758,서울 마포구 마포대로7길 18
199,126.9600345,37.55017435,서울 마포구 만리재옛길 84
200,126.9498735,37.54154971,서울 마포구 도화길 37
201,126.942776,37.54227449,서울 마포구 토정로31길 31
202,126.9423809,37.55584694,서울 마포구 신촌로26길 10
203,126.9456557,37.54706196,서울 마포구 숭문길 14
204,126.9352269,37.54702066,서울 마포구 독막로 192
